SLRLTMFSTVNMHXE;CICFNPTYANUDDTR;MEIHXKKXBWVMLOI;SMOJCTBVQPNYYIH;GQIOYCPKLLJXURH;ERTTMJMMESVHDAC;GFLEVDJNRFFQPTE;BCLTWACXBBKXMFO;FCSGCKLIFCHOYYC
MSRMKRERPWTIUSF;ILFKKJNIDIKKOXA;WVKACHXSJASDQVH;OMDCRIUQGMJGXEE;TTMOCEMQDMVUSGN;IJKSOSIBXMDAMPB;MNQIESNFNEREGQA;VWRVRFQGQKETRPS;LDOVSJGNLRJFMCQ
VOFRWOFYRUEFXWN;HSLMBHSMMEFPLXX;CBGBVIKDMQKEIQM;TBSYEDKPQPOVIOW;AMKYOLBLANAPFUW;TSHKLVYYJOGMOAQ;ODWLKHXBWEYBFWC;MKFBFSBCMJFWCNN;EUUBQCUPKNVIUYU
TIILXUYFNRRPRRQ;FJOOWCYRIOBOSYM;KXJOFVWNTHMPGJF;TGAGEMETSIDRSXO;RKLMITJGRXYJGES;TKICFOEBKXQMQLL;ANLXOYIHWETGPYJ;QOVWPHSSXKXVYDC;CHPBMHSOMFTDGVT
CCBYQBDHKNJCPUD;ERLRCBDIUOQWSMU;DYPBNVGDQOMHLWG;AVYUSJKKNFPRDFP;FNLXMBMJPNVDSBS;MNAHMKTAOMAHUKX;SHHXXGFQTJBGQBQ;NVXYCXRBKDIOOKL;SWRQUJEKXWYYQEK
ALIBSHJHWTEUHQF;JDKCEPJVEBAMRHM;PYHGGHGFNFEIFIM;YCBVAEYQLRDLNCV;AIKYCEHDSKYFEYN;WSSJJFJPUHBSULN;QFFURABFEOXNFPO;RKFLNJADMSUTDEP;NTBTUCMEPMOHYDT
VSAGEACEDQFTWCI;WNEWPOSYHNRBKTD;JWFNXKEBCMLJWRT;DSUYGACYDWWBUNP;PHLFUSBGJUSPABU;KGSBLBHRAHNBPNK;SUEFTVLNQFEMOLC;NSEKWHBVCGCOREV;LOVPYOMPHQKHODV
LOYOPCJCUFFGRHE;XBOVSSPBINNTTFC;WJIUOVDIEVWJASQ;QDLYOUTVNVAVYAT;BYYWQIKRBMFKXBE;TYAICQWQDBJGTBR;AVQJPOFNHDUQTRC;UWJGFWJWDBKDQRJ;NIWCWBBYCXKCSOE
YNOYRYIJFTCSLQP;UPDTYSPGFPEFAUS;YSIUBHDCONWICAM;OEQBTCVRIHGBQEE;DDECNSBXLKFALVO;LVMILQDXMJAIEON;OICEGIOAVYLIXHG;XKISCOBFGWFUEVY;MEPQUJHEVFYNIQW
VFJMCUWIISQTLXH;EKBQGFSJCPSIXOL;SOYMKKEUTMCPRPE;LDWWQIBTJEWLAKR;HXBHIODWHGXQBIX;FWJDPDXUKUPBKQX;DNLARKRMJBARKAQ;GJRESMDVGQPSUAG;HWCTMHXPUDWPLWF
DMOFATNRULYWMUG;MCFCYUQQLCVDTWK;XNQVJTBITAKGGEK;FLCNEDMPCXHBIVX;CWCHOARVCTOQUFO;MIJMCVTEFSDCDRF;QKNVYXGNXOYQAAX;DEGFICRXRLANDKA;EVVOXAXWFMNVAAP
UNAIKGBSKKWVUUB;WYYDEOEMGDTYLGY;OSLWOSDPLKFAIWU;IPDUOTMNYINSDQK;LJIVRCXYHWUSUAU;LINTEVPQKEMYUKC;KLJDNCRMKDBUKRH;CFCDACKHKMSQAWO;HSTHQDWTLEMBLGP
QQUWNNHTTTIXUQV;YDVCDKMTLXXGEJO;KMVCDQAYJMCRNEM;KQYEWMNWFXCMPED;IWTMIEKGNKVDQJK;IUHKPJEYIAFXKLK;RUCXJIBNQEQQQUJ;STVPEMDYMWAYIQE;RPXJIVRWTFJSAVJ
LNHLSXCKVXQXKGD;YBLVRMKNSYKAADF;RIYPMWDESODDDAS;NSKJDRVUDJNUJNP;ILRIJORIHYONSTP;DTIFMHIIWQKLSLG;LXRYCGFVMMQIQAV;MARXWVTRBHPIHJY;CJEFPHQUQCXMEUF
RABARGXOEIMWSFE;HRJWBMKMPWGJQMV;EMAWVCXMSSULBYC;HOGQMEFAEOEGGQO;MLRKIXEQFXNLVKA;VMWOCQOIACQADVH;UCQWXODWGMVGFVD;SKSQPBSEHMGDTRK;IMJANKGPRHSPVUQ
LMSHJGHWEOSKIQW;JWVXCOOPPAAJPHI;LWVILKYIPRKSSPK;KOSRADQAFEUHFVN;QTTBSDFPPXANIVW;YKORBFBYTGRTEBC;JQTONONFOWAHVJE;NTFPSRBPCWMQUCH;BYLAPKEIBLVJFMP
KXHUEDHWWIIVKET;UEJUDTCROUNVEAY;WWJIQVLPKDHGBNY;PNJAXLMVLAVSLGH;PIXFSLKFXKUIOSR;WBUPSTTWQTGDWBW;DQOTVMXUBRVJAXG;QJDIPFOVFJKVSMR;GUCNHNJXCOFLCVT
IINJWOVWLKOPKFL;WVHOAMXQEVPQEFV;MNLILFOWADJYGTX;QHXWKQVYCFBVICK;XLGSQQCTVOTLDSJ;EVFSXILAAIHHUCU;BEVKPLTVRMVIPRB;TCKOXHGOETSJJXB;GKBVGAMNAUVLXOP
NEDYCMAIMIVCRIQ;PQDXFQWIWMWXNJW;WBCFBKPGMFNOQNO;GTLLUBBUGGXCILR;IJVRNAMSKXDIUYR;LMJQIFPYTEHNJMB;MWUSVINTACMPCUA;WENYAYWLKKTIRTB;LPVLJOHKBBCIYKP
UMAPTVGVECLYPFR;LURPBMYPRVURKHM;QHFISTVPVGTNJPT;COTORBKYRPOOIKS;RMVDCTKTJKPWEKC;TYUPJYUSLLVVJYQ;HMBUFKBDCSGCMOY;JOWKVFXNSQERYXY;HMCAWUFBUWBXCFA
UKEYLGAXMCXCWQL;PTIQGJSFMWELSUJ;JVTJKQVJXIJPKRM;BODTLGJBOHNUPCV;IYPRUGVODRUTFPL;NCDLFBKJSPQXNNA;NIKNPKNOLUTAUQS;KQSHPPADLVYFHCG;RLDFJNEERUHJPAR
OMCLSYACPCMJPPK;MCKLEFFEFMBYIDF;FFJXASXVGYWJVCP;OSSTYSFELRFIMJU;IIKMMLHBGEBQLWJ;TALOVKNLYGQKCIJ;QFSEORVPSRTYPHR;ADJYFFNROTDAWTP;GXNGWDXIJWYXQAC
DXLEOQBMCTBGKMY;CHXOKDUULCDMJJJ;WPXMIFNCPJIFFUV;HHALDHGDAJSFGXA;KXYFNQEYXVSFVLK;ATVNKCVYDNGOBAD;XCPQWFLDLPNISQO;RERLROEORGRFSSM;VWYSJLYNDYHKEJG
TYRXUNVSUQFSJGL;LRRRBPGSQNNAHUR;RPXPYIWXPERBATU;MEVJFMDVGVFVWCY;LEKXBNBNWLQOCYR;OTEBFUFDJSAQRAE;KUSAAAPDKRBLHXX;WQHTSHMYYMQJGPJ;TMPKKDPEXBYSXME
UXPYUQTNSQHAMFY;UESHIBYHHVFCCKS;EJNCDRVGAJQVKUU;SHBFEPEQUPPUTPJ;UKYJMCIFIJTWXTY;JFBGVWFCMATDSTU;TDHVSFIXQKWGCEE;VMKDESITSGNUQEH;PNAFHJMVOIDEKHP
KPOXRQDXUVITMJN;OUUAPDBKMPDLMCA;IVFFUQOUSQTGXAV;MEBQGEMOUOCERGY;JYMDCETXSSLOVAI;ESLNJRXGEMCPLPJ;VXLXYIWXIAVTAHD;SVJIHUEFMTBYJOY;NTAWXJHQOADHXNJ
GYQABSOSMWWKAMU;RAJMGSGKUVKYAYJ;FVXPQXWVTRLWNEE;CFMBTXQLGXNTITW;JPHAVEPFLRANHOG;CPIECANYXNEGUIY;JETXQJPYHWMQOBF;HDQAPMQJFJYVNPX;WRPNEHFFNBEMECM
TPQXGJVYTHVSLYO;YHWSWAVYFMVAWNX;RWSRXNQDLAIYJMT;QXYFQFPTSKSTHKH;TJMMLODQCTUSEOB;UFUAQOAHNREQMMR;QVDIDBWBYJCAAGR;PCJGRTIGUMIKRNH;PIJSMPRCVJJTQBA
IRTMSDLLQMHVYHE;QEJHCSNGTCNUYNK;IDYUSUNFXXGITDO;GHPCTQGLQKMUTJA;QBDTKCHGGFGWIMF;XRYLBLFXXXLTGKX;ROXNCNETPEGVSOG;CFADRFQCWKSHIBQ;OJLMYNRXHFUVAHD
YVPKDLNANGCUBTY;RATFAYHVEPHOXTK;GMFHQACWJYXPSII;KBBGWTXLBOGRAVA;HDHOIAXAFHMYSQL;HBRGFPIBJQLBUJP;TPUBEOFBNXURNIL;XBURRKYATAJKVRB;IJALADPIVWQXABI
NAIUJYGFFNMPXBL;OVTIJLEELGNAQTV;AYBAYSGITJFJDAW;EVLGBIAYVRTVCJF;DLHKEDEJRSLANJV;GBBBHLJVCDENYQA;LNPSOMTWAJPAFEE;JDBBOPQGFPKPIOK;IYWFGDPXUVIMNDQ
JPFUVGTBQPXXFTE;YXEKWXXOLBSGTYI;FLWATSBOADRVOTG;DEWKLIMIPMEBPNF;RRVERNNKQHOJJOI;BWRBNUSLPVFDVYF;YYMLCLGIHPUOTYK;CGRNRGIGONAJFRR;ORROUFNBCATONIY
GVWEFGQHSWVWDEO;QSWYPRMTJEBILHD;WNUEWFCUOOITJVG;HTRGSHAVICWYPKX;IUUJAIKJXTYRFJH;OKIEMELAOEHWLUE;PBWBNOIANWHRIGC;JQSBDEMGYWIDUVY;HEQYXCQQSHDUJYI
BVWKRICKVYVOWSE;UXIIKGXHLBPTSFI;GXEIDRSFUJPMOWE;QTESUXFMSXVOGVN;VEGQNYNLXLGGRAA;TVSNADTWQUIACGR;ALXTXTGBQXSRTPK;JLKKRLBYRCXAKEJ;QEPGLYNLVGJBYJS
PNBUWDQGDORASBD;UQSVGCYYUUTKNCP;NREAEURLCCOPSCG;GFNOKXPLCDNEWPB;MPCXSQAONBWIAQW;QMOPMSDMMOEEQOJ;YMWMDCQDXEJPWMH;DGWPSUBGPSNVPKR;FTPPVQTVCNKOFTH
HVLJCTAGPISEWPY;HBQMNYRWLXKVXNH;YHIMABHYBEABSYX;QFGIFSXKNYKMQAV;QSHEIBVPEJPTSPE;DGJBDJWQQYNSAUP;MBUUJDHLUGNIVFU;EIQUSBYUUYENBSC;JICKOFMWXRHRIBR
NDXEYSQRIVVKCQB;DODIGTHCUPIFIPQ;VBYXRUQTAIETAVP;JLBTYWJQHHCTIQC;NTSGEMBYOMJMTQE;GTKDFSJRWAEDDQB;TIHKIQXGVDATOUC;YMLAAFJTHDOYRCJ;RBEFFEWJKOLGLBN
TTFUMSCRQGFKNYQ;SFBUGBCXQBXQAFM;NQAMLRRVCNRDSNG;HOEPXEKEACTAUUU;CQVUEVTIIYHKWKG;MEYVVQJEWDDKQDB;ATMMEEVLHSKWSJT;USLCMIYBPHXPIJO;IMCLGJMDRNFYNDX
SEFDVBUPQJXDBOH;OLULUMUYOYNVCIY;JQERMGTMDBTNQUM;OIPVHKSAEXHVLYD;FLUJAQQONWEMLCQ;FXOOTPPTFUQTYGW;QUSBDDNSXNDNFSG;HUGGWEMDTABOBOP;VDIGQSFGIIDOUVO
FXNDKUSLYOBJQAI;XEDUCCMVSRGFDHC;TNUEKFRGVQNWJYY;CPUJAKIHBEUVOFE;TPLFXXMCSAKJYHE;AYVJQCNGMMXTSMS;VQQPGEJBIRQTNUO;WMBHXEXDPCDAATF;XISWMGDRWPIFUEN
UWJYRDJUXKPVDRX;VCEPVNXMJDFANRS;CYRRQCWWSYCIIRY;KJCKUUDBWSWQQRA;ALUUBKGUMPTSNSX;DKGHKIXYEFUJTHJ;DWQWNYSXFKTGDBE;EAXCRCTGYMDCOPE;QKQOTTCXNQVJLYN
EUPYDRLXEGLQDBX;KTJWXDNONMISCTX;YOFBHDJUCAAHCNQ;RKCUDYOJKIAYQQF;FKHETNKTDQBFGVX;BCEUABXISCJMGKT;OCQJFSBSUELTGHS;TJQBFNVIXBMNQEE;FKHCAOSRPWHPMYI
PQIBIQUKWCDPTAA;HXDSIAOEGUNCUWC;ILXDLDEVOKCOIRU;IBGESFVDLFUGEAT;BQCEESQAMOTNVDF;FWUYYQSQFSCVFMO;XFPEQXSHIHNVSWX;EXURDTAHPOMBHGJ;RXAIEEXQLIXMXIQ
GWMIFOVNXENNPVU;YHFKHXWSHQOSWUC;EVGJSESENVAAFTN;LYFGNDXEVPRJOPA;HMYMYALLIPOFQYN;HMCLQODLGKOWOKN;LYONLHOXIHHGBRT;HUMUCJUVBIYCSXQ;ROHTINKIECJUKOC
NJEBKQOWPACERNE;RMIWOUPFKVHSIXS;FKMTETOMIJUKMYA;RJUGUWPUFPVMUDH;BLVOCXVLWLIYKMD;NHBDTVHXRRIRRON;QTCKYRKKFUHHUQF;OGQEEMCQVNWHQJC;FYLTCCCSULLHVNT
OQPCNUWCEPNAEFS;HPIHYDVSCNNIIAG;VLFUTHJSKPTDOGX;UDBRWLWJIFAVQAG;WVYKWLOMJVPAQSB;FBOARCFYWFWTFNX;AXOLFFFYOIVEWIO;RGTJBVIJDTJYCNM;IEJTXQHEUOXWDHA
OTWSGQEQSQQTLEW;TARUDIDKSYHNXKU;WPNSXMCCETPMAKQ;FUTDYHXTWRFVHNH;BTVNDBERCLIINRD;IJWPUQMCSWFCFTU;OAFBJDYHRXMDYHW;PDHYPXROFJBOERB;IMWQVTJJREXVVOV
SKIJMYOPIOKLSFJ;UUCFKJKJDJUVMPB;QRFPBIQIAXMMWNK;LHIQAHKSKERRWDG;DDSBDDHSJFSEBKD;UDNTLHFCWFUBWCF;RJLSEUIBMTJDPMM;GKNAUYNYHJOSNEN;UIFEAATUKRVPQGR
GQDMVBBLNBLNXPC;GFNDPYEBRQCKCAY;RJYFEASEQDLQLXJ;UJRDNEAGATOHIKV;DFFQRQIPHLPFRFH;BOULPJEIAWFQMTE;QVXWJWKPPQNBLVM;UOSQOXDEURGNJFJ;KYOHBVXLEAOFTNJ
NRKABCDMABOUOOQ;GKNIYKEVXQVEYDL;YSHBTIPRICRUYKX;KCHURFEVOYGTBRF;KFAGDAMCLPVQNUN;RFDYCAPVWCWMKSC;VVNXWMBGVNGGATK;ASOUPVMLGYOTIBV;XGJMVYTEACGRECB
HHBSSISEFFXEQRB;TNAGVBHCHGJQFYC;PECFILDKQETDXLJ;LBWTIHRXIGFSJRA;PORMNJOITMDFYXM;OVTJPMBREIGNMFV;FVNDDVULGWCHKOL;DGARNUBCBWLVIBF;EKEVOPWFKGYKGNH
CCWEEDHGALETLUG;DJWIFQJWXCNHSKR;PWRPMRFGTORVHWP;VIKOILHEEYLQSAN;GBUODRWPFAKBUOJ;LWHLJMUGXDUPRTT;PCKFPVBEOHRHPXQ;QHTFCTXCVCRETDH;QKRVCWFPKSXPPTS
CINPINFMJEDLFYA;FHHXWRXRWGNSKOJ;VFOLHXODMLGOEAS;NPHTHTRHKKBCONQ;DAIEQMSVWAFDAOP;LHDCQPSNDYQEKKC;ECOUXYDOXRTSYYM;XWOXVFVJKMNDBDO;GFVVRUMAJSIMFFG
LUTCELQXHHBXYNS;NQXQJXLKAUMDCFG;APXIYQNLCCBUVYT;LSHIVJHNKQIEISM;WXJMRUXMGPOITXL;JQEYIXJCMTINKFR;YEWREOOLOCXAEOQ;VFSFSUNFTPPVLKT;QHVBHLPRWDUREBM
OEGEDOPPBNFDOPY;VIEKVHEHIQSIBNY;GFRJPOOQPKENRTR;AOCESSLLWCFDRCU;TVBWRIEJPIQEOGW;QPBTTFRLQRVEPWO;SQSRINULRETAEYG;UYUYTJYOHJNJEVL;EJCKOVIISSYLEMH
KFDOLRXEYOSQTDU;GYLEMIAFRSKVBDS;FWDCDRUYFTLKJJP;IBWVVQUWLAVNTVR;JTWBMIOEFYRBSHE;PTTMUQDSMXOUWCD;RQKHJRMHGILPFWA;VVERTUHABJQVWFY;LFGHQGBALYLQVKE
SHHDQQYVQCUTNLK;TSXWMTGXMJARNHN;LYROIUMPUBLVXGA;JQMAOMGWPTTGBEV;BIJXRUYPCMNQBQU;VULGOJSYAOLVKGK;HNOPPYMGHKOLSVR;MCSVOYNSNKRGKGT;WULGPPJVCJRHBPD
TIHYFTSVQMBYWMF;BKSABLGGVJFVKGR;EWBGPAOJVRKCXVW;CDSQNYUEPKXFBSD;SQHWAORTHPAJXDI;BMHRMYMBWXFVVFD;HUPIBSOEGUYBYWN;PANXDOGLQGKXKOM;RXROCLFGMOSWWST
CTTBEBDOJGDULJE;PGICATPOYTTPXSA;KKLMKYWSVTFUQYG;CQHXGSNPXOBLCSB;JXHIAHWENAVOFOJ;XFWXOBAMEPGFTRR;LPRXAYHSCGVBTEN;NCJYNSIQSWMQRVR;BBREVUKCCOJOATU
Securitizadora;Rua da Glória;Centro Cívico;Curitiba;PR;Brasil;@;80030060;Logos Securitizadora
